Center X,Center Y,Orientation,Right,Left
90.11139532,47.93990164,329.313,1,0
86.78131677,49.89607019,323.749,1,0
87.17214594,49.49829044,315.177,1,0
89.75487793,46.96959851,312.899,1,0
90.36053174,46.348556,302.909,1,0
89.4075412,48.21183301,293.671,1,0
90.2260379,46.5959855,299.058,1,0
88.66275018,49.61523541,296.193,1,0
86.57787634,53.87229825,297.882,1,0
87.90393744,51.35733633,306.635,1,0
86.60825836,53.04533209,315.156,1,0
90.68917444,49.40684302,315.241,1,0
91.24014929,48.57015375,305.389,1,0
93.46113708,45.83652664,313.046,1,0
95.89944238,43.55103311,320.982,1,0
92.07817419,46.41201541,325.838,1,0
88.52344904,48.76098764,325.089,1,0
92.05113849,45.9421525,315.22,1,0
92.84047308,45.02071687,308.697,1,0
89.67043896,48.84600281,310.494,1,0
90.19954224,48.31128217,311.507,1,0
89.15961987,49.70463599,300.508,1,0
89.98249957,47.64245102,289.703,1,0
89.65449817,48.43785623,297.068,1,0
89.62081805,48.4221734,272.895,1,0
89.55205951,45.97969847,268.844,0,1
89.48035968,46.38894562,296.413,1,0
88.53203662,47.90113214,309.974,1,0
88.811854,47.33696249,295.975,1,0
87.8971098,48.72600806,311.612,1,0
90.54563977,45.87610379,312.93,1,0
92.85586902,44.0388246,326.769,1,0
93.54831964,43.47303845,300.408,1,0
92.48574939,44.73052905,315.91,1,0
91.29721985,46.33885338,297.008,1,0
91.59292499,44.64173482,275.448,1,0
91.52765259,46.62891463,270.75,1,0
91.46671014,47.51612286,283.801,1,0
91.62082379,47.11981857,270.564,1,0
91.56663666,43.34942737,271.712,1,0
91.46904871,43.27882208,274.177,1,0
91.34003723,42.98345688,255.068,0,1
91.02164081,42.15220657,257.272,0,1
91.19788159,44.65390739,270.391,1,0
91.23114221,45.46202161,272.987,1,0
91.24350043,45.15186198,273.134,1,0
91.25738232,44.86274821,268.992,0,1
91.22287286,45.11888947,272.615,1,0
91.23080951,45.41944531,265.413,0,1
91.1691004,45.27065009,265.737,0,1
91.30394623,46.64379704,261.936,0,1
90.90486218,44.89789415,257.808,0,1
90.39622253,42.41515738,247.473,0,1
89.07355597,39.80304147,243.123,0,1
88.37929236,38.8276152,250.301,0,1
89.22271765,42.01410364,259.04,0,1
89.17786548,41.83502644,255.969,0,1
89.13232861,41.7827186,256.32,0,1
89.50452643,42.9835509,245.122,0,1
89.23637775,42.50245807,230.86,0,1
89.21266425,42.53922292,224.498,0,1
87.11622778,40.62060757,219.219,0,1
86.01858633,39.74307182,216.76,0,1
87.94821582,41.12459782,203.091,0,1
86.75991531,40.75299309,201.795,0,1
82.83074057,38.51266394,211.186,0,1
77.34179077,35.12604643,213.939,0,1
74.15744803,32.94273119,205.092,0,1
71.8254147,32.37784189,193.028,0,1
69.45061703,31.77298367,185.873,0,1
70.76694537,31.83048578,182.271,0,1
68.54199649,31.7528419,181.741,0,1
68.83131036,31.70268095,166.279,0,1
71.61209204,30.66204376,157.965,0,1
71.06383185,30.860437,162.24,0,1
69.11645581,31.40373317,177.024,0,1
68.83646002,31.28623972,197.581,0,1
68.69809189,31.56248296,208.921,0,1
68.74363358,31.57339223,212.519,0,1
68.75821463,31.61868198,227.834,0,1
68.77322,31.47399611,228.628,0,1
68.93460007,31.32630507,219.821,0,1
68.9174707,31.33528683,214.95,0,1
68.92509875,31.29980217,214.805,0,1
68.94220642,31.36685863,217.501,0,1
70.45950162,32.97045158,229.554,0,1
69.45476617,31.82797363,231.605,0,1
70.42459918,33.1684205,236.397,0,1
68.93672888,31.36701292,230.742,0,1
