Center X,Center Y,Orientation,Right,Left
67.36903647,80.77100507,79.439,1,0
68.15830838,81.60552454,94.771,0,1
68.10790393,81.55773831,88.705,1,0
68.1261423,81.47528592,91.657,0,1
68.20782321,78.94156247,89.477,1,0
68.19113504,80.94009515,90.132,0,1
68.76966876,82.22857291,108.492,0,1
68.72168484,82.15232373,106.242,0,1
68.71626276,82.05909949,98.232,0,1
68.91859177,82.46225552,101.248,0,1
69.13119598,82.57393994,131.719,0,1
68.84510065,82.33203137,145.316,0,1
68.83566443,82.31008505,166.645,0,1
70.93720233,81.97132385,176.343,0,1
68.14566086,81.61108887,184.592,0,1
69.12927209,81.7992298,182.381,0,1
67.72775983,81.22120718,207.177,0,1
69.50298636,82.30953296,211.568,0,1
66.50880969,79.91670184,217.37,0,1
65.38800201,78.59848337,210.864,0,1
66.41132782,79.35190778,213.016,0,1
64.40281647,77.35787863,200.616,0,1
64.13309348,76.90626614,192.706,0,1
63.35757809,75.69994183,172.385,0,1
62.83931659,74.93954514,153.144,0,1
63.45421133,75.82887375,140.028,0,1
65.49945016,74.17705096,141.785,0,1
63.56713977,76.09992514,133.985,0,1
63.64126013,76.15421112,132.967,0,1
64.01380994,75.73308914,139.022,0,1
63.72086768,76.25460776,133.113,0,1
63.78031778,76.37291248,139.158,0,1
63.66030374,76.15392181,150.469,0,1
63.64656168,76.15113965,148.78,0,1
63.80058612,76.05835178,139.289,0,1
64.18584854,75.72684253,148.661,0,1
63.51123126,75.93808942,145.126,0,1
63.50631787,75.9280119,145.598,0,1
63.71742493,75.79190036,134.72,0,1
63.45472968,75.83204889,150.505,0,1
65.07008777,75.13489944,153.045,0,1
63.80278003,75.90070377,148.961,0,1
63.54991156,76.0103317,148.689,0,1
63.60840454,75.9478728,149.589,0,1
63.5442966,75.98224002,150.354,0,1
63.63110788,75.92604944,148.696,0,1
63.54021979,76.01018945,150.383,0,1
63.4910015,75.94479169,153.862,0,1
63.88738776,75.76033701,154.203,0,1
67.43057199,74.10887344,155.061,0,1
67.73568924,73.56442487,166.045,0,1
66.07962088,73.93395142,169.239,0,1
65.73935046,74.22235638,155.062,0,1
63.2368432,75.43928619,160.01,0,1
63.04523541,75.11646097,161.536,0,1
62.72941141,74.52832468,155.881,0,1
62.69676797,74.47776834,157.592,0,1
62.65754523,74.37992725,156.153,0,1
62.6776424,74.3266008,146.11,0,1
62.66751666,74.34415448,141.376,0,1
62.67786661,74.41183054,145.964,0,1
62.54349332,74.13160089,150.233,0,1
62.57139453,74.13089209,150.765,0,1
62.55614807,74.10690616,152.349,0,1
62.5842735,74.104746,151.379,0,1
62.51054129,74.11943796,153.696,0,1
62.47701306,74.01696796,155.012,0,1
62.48379971,73.96602106,164.914,0,1
62.59993222,73.96390189,184.138,0,1
62.36163757,73.82224289,192.308,0,1
62.38131284,73.79860413,191.088,0,1
62.22542236,73.43953842,187.28,0,1
62.09490891,73.11584045,175.341,0,1
62.22302353,73.38686774,176.723,0,1
62.18981595,73.27317987,193.822,0,1
62.09361908,73.1127955,200.445,0,1
61.88308099,72.59354071,194.082,0,1
61.56468698,72.02131387,178.821,0,1
61.79549823,72.30535754,171.461,0,1
61.65931195,72.02877316,180.886,0,1
61.33587918,71.40273288,159.723,0,1
61.49557162,71.69353668,151.718,0,1
61.4672702,71.56504114,153.301,0,1
61.50011615,71.49073755,152.8,0,1
63.57875302,70.26256094,151.033,0,1
61.22948666,71.14819366,164.461,0,1
61.1866958,71.00431665,167.173,0,1
61.18343387,70.90744714,167.013,0,1
61.16000726,70.78976443,182.087,0,1
60.98153641,70.45531631,165.684,0,1
61.08237906,70.59395447,164.131,0,1
62.22137448,70.35213269,165.633,0,1
61.0441713,70.58555975,160.544,0,1
61.00600211,70.54465421,169.587,0,1
60.85233206,70.12972821,166.906,0,1
60.70678671,69.80496463,157.8,0,1
60.71014267,69.85861896,153.919,0,1
60.71754892,69.84314105,156.462,0,1
60.67570071,69.75055569,165.639,0,1
60.5415444,69.44712366,164.175,0,1
60.5649686,69.49722192,164.562,0,1
60.6110672,69.49470013,172.606,0,1
61.84867038,69.26122485,164.512,0,1
62.99559521,69.0408407,174.268,0,1
63.78987936,69.01310101,181.107,0,1
60.215491,68.79450815,184.25,0,1
60.1292077,68.52801334,182.16,0,1
60.117539,68.43959158,187.841,0,1
59.81178769,67.06556827,173.415,0,1
60.38944867,67.3965206,183.338,0,1
60.39846298,67.42200369,175.836,0,1
59.90398972,67.43028751,183.97,0,1
59.95628912,67.43064914,183.495,0,1
59.89907391,67.39363959,184.211,0,1
59.84171405,67.15940247,178.518,0,1
59.81724594,67.08143915,173.207,0,1
59.83896564,67.07280093,168.605,0,1
59.82827576,67.01697198,167.111,0,1
59.97392477,66.99699536,166.081,0,1
60.40616336,66.87201489,159.676,0,1
60.69051321,66.77256815,160.656,0,1
59.79811795,66.93345398,171.804,0,1
59.80837146,66.80659543,169.213,0,1
59.7778472,66.76149252,168.627,0,1
59.75368527,66.69553061,173.759,0,1
59.74237338,66.53822012,170.273,0,1
59.742952,66.52460825,165.882,0,1
59.73670538,66.56383823,166.069,0,1
59.77993744,66.59618753,162.046,0,1
59.73857623,66.6466619,160.967,0,1
60.42894626,66.35591837,156.629,0,1
